,h.1,h.2,h.3,ngtv_h.1,ngtv_h.2,ngtv_h.3,sqrt_h.1,sqrt_h.2,sqrt_h.3,sqrt_ngtv_h.1,sqrt_ngtv_h.2,sqrt_ngtv_h.3
1999-06-01,1.3993224535562283,1.398364960549185,1.3974293054112328,-1.3993224535562283,-1.398364960549185,-1.3974293054112328,1.1829296063402202,1.1825248244959532,1.1821291407503804,-1.1829296063402202,-1.1825248244959532,-1.1821291407503804
1999-06-02,1.4318576043702809,1.4312626081371946,1.4306840371363745,-1.4318576043702809,-1.4312626081371946,-1.4306840371363745,1.1966025256409418,1.1963538808133631,1.1961120504101506,-1.1966025256409418,-1.1963538808133631,-1.1961120504101506
1999-06-03,1.3985751067623857,1.3976799631369852,1.3968054083074601,-1.3985751067623857,-1.3976799631369852,-1.3968054083074601,1.1826136760423438,1.1822351556001813,1.181865224256751,-1.1826136760423438,-1.1822351556001813,-1.181865224256751
1999-06-04,1.3439697321489543,1.3423674183128442,1.3407912716199546,-1.3439697321489543,-1.3423674183128442,-1.3407912716199546,1.1592970853706803,1.1586058079920212,1.1579254171232076,-1.1592970853706803,-1.1586058079920212,-1.1579254171232076
1999-06-07,1.2782808545322788,1.2754525417583407,1.2726511198823531,-1.2782808545322788,-1.2754525417583407,-1.2726511198823531,1.1306108324849355,1.1293593501442933,1.128118397989481,-1.1306108324849355,-1.1293593501442933,-1.128118397989481
1999-06-08,1.4101310458855347,1.409458831595516,1.4088035744938878,-1.4101310458855347,-1.409458831595516,-1.4088035744938878,1.1874893876938584,1.1872063138290312,1.1869303157700066,-1.1874893876938584,-1.1872063138290312,-1.1869303157700066
1999-06-09,1.3699524439753705,1.3688742990867562,1.3678177245344316,-1.3699524439753705,-1.3688742990867562,-1.3678177245344316,1.170449675968758,1.169989016652189,1.1695373976638932,-1.170449675968758,-1.169989016652189,-1.1695373976638932
1999-06-10,1.3845041450977091,1.3836276476935052,1.382770444860381,-1.3845041450977091,-1.3836276476935052,-1.382770444860381,1.1766495421737557,1.1762770284645983,1.1759126008595966,-1.1766495421737557,-1.1762770284645983,-1.1759126008595966
1999-06-11,1.3307503625485246,1.3291826405135116,1.3276393589080904,-1.3307503625485246,-1.3291826405135116,-1.3276393589080904,1.1535815370178757,1.152901834725538,1.1522323372081216,-1.1535815370178757,-1.152901834725538,-1.1522323372081216
1999-06-14,1.3377790679595725,1.3363600456599374,1.334964485916621,-1.3377790679595725,-1.3363600456599374,-1.334964485916621,1.156623995929348,1.1560104003251603,1.1554066322800043,-1.156623995929348,-1.1560104003251603,-1.1554066322800043
1999-06-15,1.2979342237870188,1.2958713588722872,1.2938338343528686,-1.2979342237870188,-1.2958713588722872,-1.2938338343528686,1.1392691621329083,1.1383634564023422,1.1374681685009338,-1.1392691621329083,-1.1383634564023422,-1.1374681685009338
